SA3_CODE16,Year,WB,rsWB
20501,2012,0.00570334190173912,0.30357142857142855
20502,2012,0.01223216731065775,0.5446428571428571
20503,2012,0.004383777873485524,0.2619047619047619
20504,2012,0.02273653515066603,0.7083333333333334
20505,2012,0.08015625571739637,0.8928571428571429
20601,2012,8.639213934926083e-4,0.09523809523809523
20602,2012,2.5014049977021717e-4,0.05357142857142857
20603,2012,0.025269388637172468,0.7321428571428571
20604,2012,0.046106038814210416,0.8154761904761905
20605,2012,0.018050915869488145,0.6517857142857143
20606,2012,0.050314281381956566,0.8333333333333334
20607,2012,0.02010245312299452,0.6815476190476191
20701,2012,0.004132386335776284,0.24404761904761904
20702,2012,0.0019730713014222503,0.1488095238095238
20703,2012,9.529926894405659e-4,0.10416666666666667
20801,2012,4.760986895232756e-4,0.06547619047619048
20802,2012,3.083640585724085e-4,0.05654761904761905
20803,2012,0.03801039646372744,0.7886904761904762
20804,2012,0,0.002976190476190476
20901,2012,0.0010547987104415223,0.11011904761904762
20902,2012,0.0025154168782580842,0.16071428571428573
20903,2012,0.00307785035697142,0.18154761904761904
20904,2012,0.0055705674056687,0.3005952380952381
21001,2012,0.009832846663832773,0.47619047619047616
21002,2012,0.004189889461107698,0.25
21003,2012,8.949708714736819e-4,0.10119047619047619
21004,2012,0.0026272785683034375,0.16964285714285715
21005,2012,0.0041788175071088745,0.24702380952380953
21101,2012,0.011986795606800299,0.5386904761904762
21102,2012,0.0013795005444324708,0.12202380952380952
21103,2012,8.258701361546336e-4,0.09226190476190477
21104,2012,8.085408765069434e-4,0.08928571428571429
21105,2012,0.007182930843735293,0.3541666666666667
21201,2012,0.008749610185640161,0.4255952380952381
21202,2012,0.00820125908023009,0.40773809523809523
21203,2012,0.016922994456984586,0.6339285714285714
21204,2012,0.015101354350517208,0.5922619047619048
21205,2012,0.0027622907061176597,0.17261904761904762
21301,2012,0.002540482873102001,0.16666666666666666
21302,2012,0.053827699721897715,0.8541666666666666
21303,2012,0.02115306118031775,0.6875
21304,2012,0.008020697551056647,0.4017857142857143
21305,2012,0.026940086974348708,0.7380952380952381
21401,2012,0.011553176417321271,0.5238095238095238
21402,2012,0.0054123050649518695,0.28869047619047616
21501,2012,0.015447747827907324,0.6011904761904762
21502,2012,0.20477098676291244,0.9375
21503,2012,0.04499992176412771,0.8095238095238095
21601,2012,0.029314793209827026,0.7589285714285714
21602,2012,0.2075603614012477,0.9434523809523809
21603,2012,0.027170807903454677,0.7410714285714286
21701,2012,0.008540811894982122,0.4166666666666667
21703,2012,0.21714231325326405,0.9494047619047619
21704,2012,0.010213304849092556,0.5
30101,2012,0.0714743557118235,0.8869047619047619
30102,2012,0.02003383339113338,0.6785714285714286
30103,2012,0.015557022860893065,0.6101190476190477
30201,2012,0.006368347231153319,0.3333333333333333
30202,2012,0.0029821865036820296,0.17857142857142858
30203,2012,0.01821826756249612,0.6547619047619048
30204,2012,0.008984503830816445,0.43452380952380953
30301,2012,3.7952359129778774e-4,0.05952380952380952
30302,2012,0.001458149710430768,0.13095238095238096
30303,2012,0.013618436784177982,0.5684523809523809
30304,2012,0.001680515549670412,0.13988095238095238
30305,2012,0.015514343391000942,0.6071428571428571
30306,2012,0,0.002976190476190476
30401,2012,2.01013396007993,0.9940476190476191
30402,2012,0.6103412207151825,0.9791666666666666
30403,2012,1.4954586606826776,0.9910714285714286
30404,2012,0.0032972294903534567,0.19940476190476192
30501,2012,0,0.002976190476190476
30502,2012,2.0377925474592828e-4,0.044642857142857144
30503,2012,0.0098242041569191,0.4732142857142857
30504,2012,0,0.002976190476190476
30601,2012,0.007203765194803439,0.35714285714285715
30602,2012,0.0017658665704308042,0.14583333333333334
30603,2012,0.0038543391978411432,0.23511904761904762
30604,2012,0.0035372744057603897,0.22023809523809523
30605,2012,0.007740796236300939,0.38392857142857145
30701,2012,0.0051981860892137384,0.28273809523809523
30702,2012,0.006830234613380779,0.3392857142857143
30703,2012,0.0034728553644953974,0.21726190476190477
30801,2012,0.00788285027844405,0.39285714285714285
30803,2012,0.01655321047092243,0.6190476190476191
30804,2012,0.0031684592185682037,0.19047619047619047
