SA3_CODE16,Year,AST,rsAST,COPD,rsCOPD,RESP,rsRESP
20503,2012,NA,NA,NA,NA,NA,NA
20504,2012,NA,NA,NA,NA,NA,NA
20505,2012,NA,NA,NA,NA,NA,NA
20601,2012,NA,NA,NA,NA,NA,NA
20602,2012,NA,NA,NA,NA,NA,NA
20603,2012,NA,NA,NA,NA,NA,NA
20604,2012,NA,NA,NA,NA,NA,NA
20605,2012,NA,NA,NA,NA,NA,NA
20606,2012,NA,NA,NA,NA,NA,NA
20607,2012,NA,NA,NA,NA,NA,NA
20701,2012,NA,NA,NA,NA,NA,NA
20702,2012,NA,NA,NA,NA,NA,NA
20703,2012,NA,NA,NA,NA,NA,NA
20801,2012,NA,NA,NA,NA,NA,NA
20802,2012,NA,NA,NA,NA,NA,NA
20803,2012,NA,NA,NA,NA,NA,NA
20804,2012,NA,NA,NA,NA,NA,NA
20901,2012,NA,NA,NA,NA,NA,NA
20902,2012,NA,NA,NA,NA,NA,NA
20903,2012,NA,NA,NA,NA,NA,NA
20904,2012,NA,NA,NA,NA,NA,NA
21001,2012,NA,NA,NA,NA,NA,NA
21002,2012,NA,NA,NA,NA,NA,NA
21003,2012,NA,NA,NA,NA,NA,NA
21004,2012,NA,NA,NA,NA,NA,NA
21005,2012,NA,NA,NA,NA,NA,NA
21101,2012,NA,NA,NA,NA,NA,NA
21102,2012,NA,NA,NA,NA,NA,NA
21103,2012,NA,NA,NA,NA,NA,NA
21104,2012,NA,NA,NA,NA,NA,NA
21105,2012,NA,NA,NA,NA,NA,NA
21201,2012,NA,NA,NA,NA,NA,NA
21202,2012,NA,NA,NA,NA,NA,NA
21203,2012,NA,NA,NA,NA,NA,NA
21204,2012,NA,NA,NA,NA,NA,NA
21205,2012,NA,NA,NA,NA,NA,NA
21301,2012,NA,NA,NA,NA,NA,NA
21302,2012,NA,NA,NA,NA,NA,NA
21303,2012,NA,NA,NA,NA,NA,NA
21304,2012,NA,NA,NA,NA,NA,NA
21305,2012,NA,NA,NA,NA,NA,NA
21401,2012,NA,NA,NA,NA,NA,NA
21402,2012,NA,NA,NA,NA,NA,NA
21501,2012,NA,NA,NA,NA,NA,NA
21502,2012,NA,NA,NA,NA,NA,NA
21503,2012,NA,NA,NA,NA,NA,NA
21601,2012,NA,NA,NA,NA,NA,NA
21602,2012,NA,NA,NA,NA,NA,NA
21603,2012,NA,NA,NA,NA,NA,NA
21701,2012,NA,NA,NA,NA,NA,NA
21703,2012,NA,NA,NA,NA,NA,NA
21704,2012,NA,NA,NA,NA,NA,NA
30101,2012,NA,NA,NA,NA,NA,NA
30102,2012,NA,NA,NA,NA,NA,NA
30103,2012,NA,NA,NA,NA,NA,NA
30201,2012,NA,NA,NA,NA,NA,NA
30202,2012,NA,NA,NA,NA,NA,NA
30203,2012,NA,NA,NA,NA,NA,NA
30204,2012,NA,NA,NA,NA,NA,NA
30301,2012,NA,NA,NA,NA,NA,NA
30302,2012,NA,NA,NA,NA,NA,NA
30303,2012,NA,NA,NA,NA,NA,NA
30304,2012,NA,NA,NA,NA,NA,NA
30305,2012,NA,NA,NA,NA,NA,NA
30306,2012,NA,NA,NA,NA,NA,NA
30401,2012,NA,NA,NA,NA,NA,NA
30402,2012,NA,NA,NA,NA,NA,NA
30403,2012,NA,NA,NA,NA,NA,NA
30404,2012,NA,NA,NA,NA,NA,NA
30501,2012,NA,NA,NA,NA,NA,NA
30502,2012,NA,NA,NA,NA,NA,NA
30503,2012,NA,NA,NA,NA,NA,NA
30504,2012,NA,NA,NA,NA,NA,NA
30601,2012,NA,NA,NA,NA,NA,NA
30602,2012,NA,NA,NA,NA,NA,NA
30603,2012,NA,NA,NA,NA,NA,NA
30604,2012,NA,NA,NA,NA,NA,NA
30605,2012,NA,NA,NA,NA,NA,NA
30701,2012,NA,NA,NA,NA,NA,NA
30702,2012,NA,NA,NA,NA,NA,NA
30703,2012,NA,NA,NA,NA,NA,NA
30801,2012,NA,NA,NA,NA,NA,NA
30803,2012,NA,NA,NA,NA,NA,NA
30804,2012,NA,NA,NA,NA,NA,NA
30805,2012,NA,NA,NA,NA,NA,NA
30901,2012,NA,NA,NA,NA,NA,NA
30902,2012,NA,NA,NA,NA,NA,NA
30903,2012,NA,NA,NA,NA,NA,NA
30904,2012,NA,NA,NA,NA,NA,NA
30905,2012,NA,NA,NA,NA,NA,NA
30906,2012,NA,NA,NA,NA,NA,NA
30907,2012,NA,NA,NA,NA,NA,NA
30908,2012,NA,NA,NA,NA,NA,NA
30909,2012,NA,NA,NA,NA,NA,NA
30910,2012,NA,NA,NA,NA,NA,NA
31001,2012,NA,NA,NA,NA,NA,NA
31002,2012,NA,NA,NA,NA,NA,NA
31003,2012,NA,NA,NA,NA,NA,NA
31004,2012,NA,NA,NA,NA,NA,NA
31101,2012,NA,NA,NA,NA,NA,NA
31102,2012,NA,NA,NA,NA,NA,NA
31103,2012,NA,NA,NA,NA,NA,NA
31104,2012,NA,NA,NA,NA,NA,NA
31105,2012,NA,NA,NA,NA,NA,NA
31106,2012,NA,NA,NA,NA,NA,NA
31201,2012,NA,NA,NA,NA,NA,NA
31202,2012,NA,NA,NA,NA,NA,NA
31203,2012,NA,NA,NA,NA,NA,NA
31301,2012,NA,NA,NA,NA,NA,NA
31302,2012,NA,NA,NA,NA,NA,NA
31303,2012,NA,NA,NA,NA,NA,NA
31304,2012,NA,NA,NA,NA,NA,NA
31305,2012,NA,NA,NA,NA,NA,NA
31401,2012,NA,NA,NA,NA,NA,NA
31402,2012,NA,NA,NA,NA,NA,NA
31403,2012,NA,NA,NA,NA,NA,NA
31501,2012,NA,NA,NA,NA,NA,NA
31502,2012,NA,NA,NA,NA,NA,NA
31503,2012,NA,NA,NA,NA,NA,NA
31601,2012,NA,NA,NA,NA,NA,NA
31602,2012,NA,NA,NA,NA,NA,NA
31603,2012,NA,NA,NA,NA,NA,NA
31605,2012,NA,NA,NA,NA,NA,NA
31606,2012,NA,NA,NA,NA,NA,NA
31607,2012,NA,NA,NA,NA,NA,NA
31608,2012,NA,NA,NA,NA,NA,NA
31701,2012,NA,NA,NA,NA,NA,NA
31801,2012,NA,NA,NA,NA,NA,NA
31802,2012,NA,NA,NA,NA,NA,NA
31901,2012,NA,NA,NA,NA,NA,NA
31902,2012,NA,NA,NA,NA,NA,NA
31903,2012,NA,NA,NA,NA,NA,NA
31904,2012,NA,NA,NA,NA,NA,NA
31905,2012,NA,NA,NA,NA,NA,NA
