LGA_CODE16,CHD,Cereb,COPD,Heart,CA,AC
27170,65.291873,29.877381,32.539688,15.198297,NA,574.09402
27260,56.318986,30.017702,29.928967,11.90632,NA,539.44629
27350,53.454814,28.026851,17.442189,10.692639,7.0798028,472.53026
27450,49.590707,28.074424,23.786052,14.278939,5.9276865,483.40284
27630,60.526488,51.798322,NA,NA,NA,643.44492
29399,NA,NA,NA,NA,NA,542.12252
30250,NA,NA,NA,NA,NA,NA
30300,88.252729,NA,NA,NA,NA,666.40681
30370,71.038037,30.597054,35.745761,NA,NA,565.0453
30410,NA,NA,NA,NA,NA,602.50873
30450,NA,NA,NA,NA,NA,NA
30760,NA,NA,NA,NA,NA,602.50873
30900,NA,NA,NA,NA,NA,NA
31000,63.090102,34.640007,18.795586,5.684586,5.9664966,494.18856
31750,NA,NA,NA,NA,NA,NA
31820,62.077243,30.981758,27.586694,NA,8.3980703,584.19668
31900,71.447355,40.647192,25.402966,NA,NA,579.98719
31950,NA,NA,NA,NA,NA,NA
32080,51.222917,35.033679,32.092288,9.9621504,7.1337439,589.51688
32250,NA,NA,NA,NA,NA,917.58154
32260,68.8362,40.330473,32.401901,NA,NA,606.55973
32270,72.521082,34.672802,43.910855,NA,NA,572.23749
32310,98.560827,35.328796,39.359289,NA,NA,670.30575
32330,NA,NA,NA,NA,NA,801.23772
32450,NA,NA,NA,NA,NA,789.54637
32500,NA,NA,NA,NA,NA,745.63286
32600,NA,NA,NA,NA,NA,NA
32750,NA,NA,NA,NA,NA,NA
32770,NA,NA,NA,NA,NA,NA
32810,71.394812,34.416917,NA,NA,NA,587.11643
33100,NA,NA,NA,NA,NA,NA
33200,NA,NA,NA,NA,NA,653.30559
33220,74.762313,41.847438,34.367561,9.0632301,7.5013964,610.36999
33360,54.40504,40.986216,32.909101,NA,NA,566.94063
33430,56.796537,30.95427,20.438337,7.4809204,5.9484775,491.85159
33610,102.62731,33.864684,43.328609,NA,NA,625.55964
33620,60.809734,31.498988,23.21543,8.7171279,NA,550.918
33800,85.141026,25.73025,20.780955,NA,NA,520.51558
33830,NA,NA,NA,NA,NA,NA
33960,69.63182,35.970449,31.678534,10.352159,NA,593.96985
33980,96.701645,NA,NA,NA,NA,452.70556
34420,NA,NA,NA,NA,NA,NA
34530,73.700711,24.381238,29.579139,NA,NA,519.19058
34570,NA,NA,NA,NA,NA,NA
34580,73.413781,54.051002,33.550292,14.11908,NA,557.26966
34590,77.881426,33.203297,30.962824,9.9689367,NA,584.77355
34710,91.280537,NA,NA,NA,NA,689.83525
34770,76.03075,32.868872,28.13041,6.803529,6.8434518,573.91533
34800,NA,NA,NA,NA,NA,NA
34830,NA,NA,NA,NA,NA,NA
34860,58.410246,NA,43.185312,NA,NA,543.57616
34880,48.978523,23.873213,26.144791,NA,NA,543.67539
35010,61.362662,33.709466,29.723892,7.1489421,6.0902835,555.9864
35250,NA,NA,NA,NA,NA,NA
35300,102.70965,39.261711,63.157847,NA,NA,839.4868
35600,70.286849,NA,NA,NA,NA,695.14508
35670,NA,NA,NA,NA,NA,NA
35740,57.006232,29.755015,17.675637,NA,6.891249,469.41053
35760,80.011017,37.88328,41.010546,NA,NA,570.55774
35780,NA,NA,NA,NA,NA,954.68791
35790,NA,NA,NA,NA,NA,NA
35800,NA,NA,NA,NA,NA,881.3043
36070,NA,NA,NA,NA,NA,NA
36150,NA,NA,NA,NA,NA,881.3043
36250,67.944885,38.180635,20.772786,NA,7.713394,521.90539
36300,NA,NA,NA,NA,NA,NA
36370,77.45884,38.946571,37.076491,9.7289783,11.01067,662.08791
36510,55.11622,28.276551,22.637998,7.741427,6.5752059,502.24157
36580,84.300329,22.362659,34.434457,NA,NA,549.19672
36630,104.88899,35.744166,35.085623,13.355472,8.9741815,682.60964
36660,84.2144,37.643822,27.013679,10.176567,8.0274367,585.34162
36720,51.98141,29.472721,20.402699,5.7378963,7.4822864,475.21408
36820,63.815778,33.730643,27.630858,NA,NA,619.46844
36910,63.280796,38.563735,25.645298,10.61106,9.3188686,549.34089
